Average Reward, Average Acceptance, Average Overbooking
Overbooking =1.5, Cancellation = 0, Fd = 1
95.4551328062827, 74.93638177149514, 91.6769770399486
Overbooking =1.5, Cancellation = 0, Fd = 2
75.79222020597685, 66.78534816101477, 81.71083417112304
Overbooking =1.5, Cancellation = 0, Fd = 3
82.78593723356666, 74.54799690572938, 91.47057209147529
Overbooking =1.5, Cancellation = 1, Fd = 1
75.88191969602543, 99.58741175216768, 111.23292417509607
Overbooking =1.5, Cancellation = 1, Fd = 2
84.97568889671238, 98.97875944777267, 110.84053030303029
Overbooking =1.5, Cancellation = 1, Fd = 3
78.37670912070072, 99.80653203189992, 111.8304640256695
Overbooking =1.5, Cancellation = 2, Fd = 1
91.29822116091455, 99.93607106075488, 98.85708283754279
Overbooking =1.5, Cancellation = 2, Fd = 2
94.79580486293341, 99.99298670779173, 98.71325360040385
Overbooking =1.5, Cancellation = 2, Fd = 3
91.88941021035838, 100.0, 99.45682563476201
Overbooking =2.0, Cancellation = 0, Fd = 1
64.27379291601957, 90.20070580233497, 111.04259591781013
Overbooking =2.0, Cancellation = 0, Fd = 2
91.13645555938295, 70.828420742326, 86.9298280527956
Overbooking =2.0, Cancellation = 0, Fd = 3
91.37687572766664, 65.91580224262124, 81.5271830234903
Overbooking =2.0, Cancellation = 1, Fd = 1
71.05022454632784, 97.0090683794942, 108.27542539425598
Overbooking =2.0, Cancellation = 1, Fd = 2
91.4588014645265, 89.9293363470256, 100.60238095238095
Overbooking =2.0, Cancellation = 1, Fd = 3
68.69995599367299, 100.0, 112.04713069233617
Overbooking =2.0, Cancellation = 2, Fd = 1
75.67284729154203, 60.60311976717983, 59.90035126232456
Overbooking =2.0, Cancellation = 2, Fd = 2
89.01082326614498, 88.87742977521118, 87.7020543792146
Overbooking =2.0, Cancellation = 2, Fd = 3
91.1435273184302, 79.67692327419856, 79.17222629358206
Overbooking =2.5, Cancellation = 0, Fd = 1
43.7713431722417, 93.3724087295418, 115.40461999364595
Overbooking =2.5, Cancellation = 0, Fd = 2
54.199848669790256, 96.93958659715017, 119.98117858417143
Overbooking =2.5, Cancellation = 0, Fd = 3
91.24677259106544, 65.91580224262124, 81.5271830234903
Overbooking =2.5, Cancellation = 1, Fd = 1
87.66724400511274, 89.71645181974178, 99.83446309233474
Overbooking =2.5, Cancellation = 1, Fd = 2
32.451879340462256, 28.538351718857484, 31.211093073593076
Overbooking =2.5, Cancellation = 1, Fd = 3
82.53397620677187, 91.80564233078609, 102.0429640256695
Overbooking =2.5, Cancellation = 2, Fd = 1
83.6189371452602, 99.99430075587433, 98.90708283754279
Overbooking =2.5, Cancellation = 2, Fd = 2
89.33576729367017, 99.94736533831784, 99.02002461322081
Overbooking =2.5, Cancellation = 2, Fd = 3
86.78047074354394, 100.0, 99.24251573986751
